MEM = MEAN
TIME = 160212/0000
STID = OUN SLAT = 35.25 SLON = -97.47 MALT = 384.304

PRES, HGHT, TEMP, DEWP, WDIR, WSPD, OMGA
389.667556763,7578.26918945,-30.5144260406,-38.0900684357,34.2927650452,-37.7205738068,-999.0
358.565310669,8162.96176758,-35.599704361,-43.6184440613,34.217988205,-40.2512802124,-999.0
329.4703125,8745.06289063,-40.7742195129,-48.7086357117,35.192848587,-42.6407077789,-999.0
302.268777466,9324.73056641,-45.9479541779,-53.2993045807,37.2071723938,-45.1024013519,-999.0
276.867056274,9902.03339844,-51.0421409607,-58.0687732697,40.3660682678,-47.6019916534,-999.0
253.171885681,10477.6003906,-55.7772087097,-62.875907135,43.5768821716,-50.1419895172,-999.0
231.089692688,11054.0080078,-59.0761425018,-66.9527107239,44.8823749542,-50.6583827972,-999.0
210.526620483,11636.7430664,-60.1136981964,-70.0715934753,45.4929561615,-45.0470432281,-999.0
191.399925232,12231.4074219,-59.7631546021,-72.7012565613,48.959821701,-35.577438736,-999.0
173.629542542,12841.6428711,-58.8242088318,-75.707308197,52.9460014343,-29.0678874969,-999.0
157.141897583,13469.1573242,-57.9543994904,-78.800944519,56.3743911743,-23.4440999985,-999.0
141.862643433,14112.7097656,-58.7052669525,-80.43776474,57.8517345428,-21.0112304688,-999.0
127.721511841,14769.8365234,-60.2375915527,-80.4478607178,56.4350910187,-20.8961535454,-999.0
